unitName,pageNo,numOfRows,unitCode,routeName,routeNo,xValue,yValue
판교,,,065 ,경부선,001,127.103200,37.396399
대왕판교,,,069 ,경부선,001,127.093456,37.408887
서울,,,101 ,경부선,001,127.102077,37.365046
수원신갈,,,103 ,경부선,001,127.102395,37.266835
기흥,,,105 ,경부선,001,127.102448,37.222267
오산,,,106 ,경부선,001,127.080130,37.143445
안성,,,107 ,경부선,001,127.150410,36.995586
천안,,,108 ,경부선,001,127.166314,36.826143
목천,,,110 ,경부선,001,127.230608,36.768049
청주,,,111 ,경부선,001,127.379790,36.625153
남청주,,,112 ,경부선,001,127.423946,36.534429
신탄진,,,113 ,경부선,001,127.422199,36.439014
대전,,,115 ,경부선,001,127.448327,36.361324
옥천,,,116 ,경부선,001,127.568131,36.309934
금강,,,117 ,경부선,001,127.668908,36.278719
영동,,,118 ,경부선,001,127.829721,36.270309
황간,,,120 ,경부선,001,127.901978,36.223027
추풍령,,,121 ,경부선,001,128.004231,36.198551
김천,,,122 ,경부선,001,128.094079,36.130898
구미,,,123 ,경부선,001,128.360342,36.113469
남구미,,,125 ,경부선,001,128.371779,36.072644
왜관,,,126 ,경부선,001,128.429108,35.979206
서대구,,,127 ,경부선,001,128.525315,35.884362
북대구,,,129 ,경부선,001,128.584088,35.911046
동김천,,,130 ,경부선,001,128.175588,36.139931
경산,,,131 ,경부선,001,128.793257,35.874997
영천,,,132 ,경부선,001,128.951405,35.925306
건천,,,133 ,경부선,001,129.082896,35.840712
경주,,,135 ,경부선,001,129.188640,35.809826
통도사,,,137 ,경부선,001,129.095130,35.502680
양산,,,138 ,경부선,001,129.048465,35.376937
서울산,,,139 ,경부선,001,129.124318,35.556094
부산,,,140 ,경부선,001,129.105170,35.278796
금강휴게소,,,226 ,경부선,001,,
북천안,,,229 ,경부선,001,127.183964,36.898911
통도사휴게소,,,286 ,경부선,001,,
칠곡물류,,,518 ,경부선,001,128.451318,35.953191
기흥동탄,,,528 ,경부선,001,127.091878,37.217456
노포,,,529 ,경부선,001,129.100411,35.285843
활천,,,722 ,경부선,001,129.193159,35.709982
옥산,,,733 ,경부선,001,,
테스트,,,796 ,경부선,001,,
순천만,,,013 ,남해선A,010,127.485427,34.898387
내서,,,092 ,남해선A,010,128.514329,35.256546
군북,,,142 ,남해선A,010,128.320140,35.283467
장지,,,143 ,남해선A,010,128.340854,35.294199
함안,,,144 ,남해선A,010,128.393002,35.291579
동창원,,,146 ,남해선A,010,128.702300,35.283459
진례,,,147 ,남해선A,010,128.759060,35.267175
서김해,,,148 ,남해선A,010,128.844147,35.217153
동김해,,,149 ,남해선A,010,128.899746,35.223970
북부산,,,150 ,남해선A,010,128.941444,35.222065
서순천,,,270 ,남해선A,010,127.482530,35.000545
순천,,,271 ,남해선A,010,127.517460,34.983651
광양,,,272 ,남해선A,010,127.598808,34.969927
동광양,,,273 ,남해선A,010,127.659025,34.959629
옥곡,,,275 ,남해선A,010,127.712402,34.981606
진월,,,276 ,남해선A,010,127.745170,34.975884
하동,,,277 ,남해선A,010,127.812679,34.999079
진교,,,278 ,남해선A,010,127.904259,35.038776
곤양,,,279 ,남해선A,010,127.963122,35.054553
축동,,,290 ,남해선A,010,128.041206,35.088770
사천,,,291 ,남해선A,010,128.089008,35.113536
진주,,,292 ,남해선A,010,128.122061,35.158864
문산,,,293 ,남해선A,010,128.158181,35.174658
북창원,,,294 ,남해선A,010,128.608599,35.293117
진성,,,295 ,남해선A,010,128.224776,35.189022
지수,,,296 ,남해선A,010,128.267285,35.228224
서영암,,,981 ,남해선A,010,126.570872,34.737619
