stationName,addr,year,mangName,item,dmX,dmY
강남구,서울 강남구 학동로 426강남구청 별관 1동,1978,도시대기,"SO2, CO, O3, NO2, PM10, PM2.5",37.5175623,127.0472893
서초구,서울 서초구 신반포로15길 16반포 2동 주민센터,1982,도시대기,"SO2, CO, O3, NO2, PM10, PM2.5",37.504547,126.994611
도산대로,서울 강남구 도산대로 104신사역2번출구 앞,1995,도로변대기,"SO2, CO, O3, NO2, PM10, PM2.5",37.516083,127.019694
강남대로,서울특별시 서초구 강남대로 201서초구민회관 앞 중앙차로 (양재동),2009,도로변대기,"SO2, CO, O3, NO2, PM10, PM2.5",37.482867,127.035621
송파구,서울 송파구 백제고분로 236삼전동 주민센터 (삼전동),1984,도시대기,"SO2, CO, O3, NO2, PM10, PM2.5",37.502685,127.092385
강동구,서울 강동구 구천면로 42길 59천호1동 주민센터,1997,도시대기,"SO2, CO, O3, NO2, PM10, PM2.5",37.545089,127.136806
천호대로,서울 강동구 천호대로 1151길동사거리 강동성모요양병원 앞),2008,도로변대기,"SO2, CO, O3, NO2, PM10, PM2.5",37.534035,127.139172
금천구,서울 금천구 금하로21길 20시흥5동 주민센터,1997,도시대기,"SO2, CO, O3, NO2, PM10, PM2.5",37.452386,126.908333
시흥대로,서울 금천구 독산동 996-9한양수자인아파트 앞,2018,도로변대기,"SO2, CO, O3, NO2, PM10, PM2.5",37.474899,126.898657
강북구,서울 강북구 삼양로 139길 49우이동 주민센터,1997,도시대기,"SO2, CO, O3, NO2, PM10, PM2.5",37.64793,127.011952
양천구,서울 양천구 중앙로52길 56신정4동 문화센터,1997,도시대기,"SO2, CO, O3, NO2, PM10, PM2.5",37.523286,126.858689
노원구,서울 노원구 상계로 118상계2동 주민센터 (23길 17 노원구 원터행복발전소),1997,도시대기,"SO2, CO, O3, NO2, PM10, PM2.5",37.657415,127.067876
화랑로,서울 노원구 화랑로 429태능입구역 8번 출구,2009,도로변대기,"SO2, CO, O3, NO2, PM10, PM2.5",37.617315,127.07512
식사동,경기 고양시 일산동구 위시티로 151양일초등학교,2002,도시대기,"SO2, CO, O3, NO2, PM10, PM2.5",37.685514,126.813441
백마로(마두역),경기 고양시 일산동구 장항2동 888뉴코아백화점사거리,2004,도로변대기,"SO2, CO, O3, NO2, PM10, PM2.5",37.6545086,126.7755571
신원동,경기 고양시 덕양구 신원2로 24신원도서관,2015,도시대기,"SO2, CO, O3, NO2, PM10, PM2.5",37.666362,126.886708
주엽동,경기도 고양시 일산서구 주엽로 104주엽어린이도서관 (주엽동),2018,도시대기,"SO2, CO, O3, NO2, PM10, PM2.5",37.6683,126.7564
경안동,경기 광주시 중앙로 128농협중앙회,2006,도시대기,"SO2, CO, O3, NO2, PM10, PM2.5",37.4112,127.2579
오포읍,경기도 광주시 오포읍 오포로859번길 29오포읍 행정복지센터 옥상,2019,도시대기,"SO2, CO, O3, NO2, PM10, PM2.5",37.36615,127.22856
곤지암,경기도 광주시 곤지암읍 광여로 59곤지암읍 행정복지센터 옥상,2020,도시대기,"SO2, CO, O3, NO2, PM10, PM2.5",37.350901,127.352363
김량장동,경기 용인시 처인구 금령로 50처인구청,1999,도시대기,"SO2, CO, O3, NO2, PM10, PM2.5",37.2345,127.2014
수지,경기 용인시 수지구 수지로 342번길3풍덕천1동주민자치센터,2005,도시대기,"SO2, CO, O3, NO2, PM10, PM2.5",37.327927,127.095215
기흥,경기 용인시 기흥구 관곡로 95기흥구청,2007,도시대기,"SO2, CO, O3, NO2, PM10, PM2.5",37.280224,127.11514
중부대로(구갈동),경기 용인시 기흥구 구갈동 505-3녹십자사거리,2011,도로변대기,"SO2, CO, NO2, PM10, PM2.5",37.275324,127.113744
모현읍,경기도 용인시 처인구 모현읍 독점로 31-6모현읍주민자치센터,2019,도시대기,"SO2, CO, O3, NO2, PM10, PM2.5",37.329538,127.242271
