집계일자,집계시,시작영업소코드,도착영업소코드,TCS차종구분코드,출발도착기준구분코드,통행시간,평활화전통행시간,평균속도,영업소간보정구분코드,교통량,유효교통량,통행시간표준편차,통행시간변동계수,통행시간최대값,통행시간중위값,통행시간최소값,퍼센타일15_85통행시간,최종변경시각,시작영업소이름,시작도로이름,도착영업소이름,도착도로이름
20210622,00,519 ,556 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,남대구,중부내륙선지선A,동순천,전주-광양선
20210622,00,527 ,556 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,포항,새만금포항선,동순천,전주-광양선
20210622,00,544 ,556 ,6,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,완주,새만금포항선지선,동순천,전주-광양선
20210622,00,544 ,556 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,완주,새만금포항선지선,동순천,전주-광양선
20210622,00,557 ,556 ,1,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210622013032,황전,전주-광양선,동순천,전주-광양선
20210622,00,558 ,556 ,6,2,1531,1531,87.68,00,1,1,0,0,1531,1531,1531,0,20210622013032,구례화엄사,전주-광양선,동순천,전주-광양선
20210622,00,558 ,556 ,1,2,1641,1641,81.8,00,4,4,548.95,0.33,2464,1388,1327,795,20210622013032,구례화엄사,전주-광양선,동순천,전주-광양선
20210622,00,559 ,556 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,서남원,전주-광양선,동순천,전주-광양선
20210622,00,579 ,556 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,남세종,당진상주선,동순천,전주-광양선
20210622,00,699 ,564 ,5,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210622013032,진해본선,남해제3지선,연풍,중부내륙선
20210622,00,103 ,565 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,수원신갈,경부선,문경새재,중부내륙선
20210622,00,681 ,569 ,1,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210622013032,장안본선,평택시흥선,북광주,고창-담양선
20210622,00,167 ,562 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,광주,호남선A,충주,중부내륙선
20210622,00,173 ,562 ,2,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,양지,영동선,충주,중부내륙선
20210622,00,175 ,562 ,2,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,덕평,영동선,충주,중부내륙선
20210622,00,177 ,562 ,3,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,여주,영동선,충주,중부내륙선
20210622,00,177 ,562 ,2,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,여주,영동선,충주,중부내륙선
20210622,00,190 ,562 ,3,2,4298,4298,80.35,00,5,5,568.27,0.13,5312,4055,3994,922,20210622013032,동서울,중부선-대전통영선A,충주,중부내륙선
20210622,00,190 ,562 ,1,2,-1,-1,-1,10,3,0,0,0,0,0,0,0,20210622013032,동서울,중부선-대전통영선A,충주,중부내륙선
20210622,00,681 ,572 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,장안본선,평택시흥선,고덕,당진상주선
20210622,00,126 ,565 ,5,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,왜관,경부선,문경새재,중부내륙선
20210622,00,129 ,565 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,북대구,경부선,문경새재,중부내륙선
20210622,00,190 ,565 ,4,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,동서울,중부선-대전통영선A,문경새재,중부내륙선
20210622,00,233 ,565 ,4,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,현풍,중부내륙선,문경새재,중부내륙선
20210622,00,252 ,565 ,4,2,-1,-1,-1,10,4,0,0,0,0,0,0,0,20210622013032,대동,중앙선,문경새재,중부내륙선
20210622,00,252 ,565 ,1,2,-1,-1,-1,10,4,0,0,0,0,0,0,0,20210622013032,대동,중앙선,문경새재,중부내륙선
20210622,00,253 ,565 ,2,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,서서울,서해안선,문경새재,중부내륙선
20210622,00,101 ,570 ,4,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,서울,경부선,북상주,중부내륙선
20210622,00,101 ,570 ,1,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210622013032,서울,경부선,북상주,중부내륙선
20210622,00,103 ,570 ,4,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,수원신갈,경부선,북상주,중부내륙선
20210622,00,127 ,570 ,1,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210622013032,서대구,경부선,북상주,중부내륙선
20210622,00,149 ,570 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,동김해,남해선A,북상주,중부내륙선
20210622,00,190 ,570 ,4,2,-1,-1,-1,10,4,0,0,0,0,0,0,0,20210622013032,동서울,중부선-대전통영선A,북상주,중부내륙선
20210622,00,190 ,570 ,3,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,동서울,중부선-대전통영선A,북상주,중부내륙선
20210622,00,190 ,570 ,2,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,동서울,중부선-대전통영선A,북상주,중부내륙선
20210622,00,190 ,570 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,동서울,중부선-대전통영선A,북상주,중부내륙선
20210622,00,212 ,570 ,1,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210622013032,북수원,영동선,북상주,중부내륙선
20210622,00,509 ,578 ,5,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,목포,서해안선,서세종,당진상주선
20210622,00,509 ,578 ,1,2,-1,-1,-1,10,3,0,0,0,0,0,0,0,20210622013032,목포,서해안선,서세종,당진상주선
20210622,00,511 ,578 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,무창포,서해안선,서세종,당진상주선
20210622,00,212 ,562 ,1,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,북수원,영동선,충주,중부내륙선
20210622,00,239 ,562 ,4,2,-1,-1,-1,10,1,0,0,0,0,0,0,0,20210622013032,칠원,중부내륙선,충주,중부내륙선
20210622,00,554 ,580 ,1,2,-1,-1,-1,10,2,0,0,0,0,0,0,0,20210622013032,동홍천,서울춘천선,북강릉,동해선
